AIC BIC aBIC DIC
msst_wide_ml_r25 -999 -999 -999 -999
msst_long_ml_r25 127751.702 127865.382 127814.537 NA
msst_wide_bayes_r25 NA NA NA NA
msst_long_bayes_r25 NA NA NA 125931.362
cuts_wide_ml_r25 -999 -999 -999 -999
cuts_long_ml_r25 -999 -999 -999 -999
cuts_wide_bayes_r25 NA NA NA NA
cuts_long_bayes_r25 NA NA NA 118798.463
tso_wide_ml_r25 -999 -999 -999 -999
tso_wide_bayes_r25 NA NA NA NA
tso_long_bayes_r25 NA NA NA 105654.912
msst_wide_ml_r26 -999 -999 -999 -999
msst_long_ml_r26 126665.873 126779.553 126728.707 NA
msst_wide_bayes_r26 NA NA NA NA
msst_long_bayes_r26 NA NA NA 124916.106
cuts_wide_ml_r26 -999 -999 -999 -999
cuts_long_ml_r26 -999 -999 -999 -999
cuts_wide_bayes_r26 NA NA NA NA
cuts_long_bayes_r26 NA NA NA 118955.038
tso_wide_ml_r26 -999 -999 -999 -999
tso_wide_bayes_r26 NA NA NA NA
tso_long_bayes_r26 NA NA NA 105688.133
msst_wide_ml_r27 -999 -999 -999 -999
msst_long_ml_r27 126696.377 126810.057 126759.212 NA
msst_wide_bayes_r27 NA NA NA NA
msst_long_bayes_r27 NA NA NA 124639.265
cuts_wide_ml_r27 -999 -999 -999 -999
cuts_long_ml_r27 -999 -999 -999 -999
cuts_wide_bayes_r27 NA NA NA NA
cuts_long_bayes_r27 NA NA NA 118426.325
tso_wide_ml_r27 -999 -999 -999 -999
tso_wide_bayes_r27 NA NA NA NA
tso_long_bayes_r27 NA NA NA 105390.703
msst_wide_ml_r28 -999 -999 -999 -999
msst_long_ml_r28 126785.522 126899.201 126848.356 NA
msst_wide_bayes_r28 NA NA NA NA
msst_long_bayes_r28 NA NA NA 124649.916
cuts_wide_ml_r28 -999 -999 -999 -999
cuts_long_ml_r28 -999 -999 -999 -999
cuts_wide_bayes_r28 NA NA NA NA
cuts_long_bayes_r28 NA NA NA 118546.968
tso_wide_ml_r28 -999 -999 -999 -999
tso_wide_bayes_r28 NA NA NA NA
tso_long_bayes_r28 NA NA NA 105556.385
msst_wide_ml_r29 -999 -999 -999 -999
msst_long_ml_r29 126979.447 127093.127 127042.282 NA
msst_wide_bayes_r29 NA NA NA NA
msst_long_bayes_r29 NA NA NA 125062.874
cuts_wide_ml_r29 -999 -999 -999 -999
cuts_long_ml_r29 -999 -999 -999 -999
cuts_wide_bayes_r29 NA NA NA NA
cuts_long_bayes_r29 NA NA NA 118096.774
tso_wide_ml_r29 -999 -999 -999 -999
tso_wide_bayes_r29 NA NA NA NA
tso_long_bayes_r29 NA NA NA 105121.877
msst_wide_ml_r30 -999 -999 -999 -999
msst_long_ml_r30 127868.847 127982.527 127931.681 NA
msst_wide_bayes_r30 NA NA NA NA
msst_long_bayes_r30 NA NA NA 126006.361
cuts_wide_ml_r30 -999 -999 -999 -999
cuts_long_ml_r30 -999 -999 -999 -999
cuts_wide_bayes_r30 NA NA NA NA
cuts_long_bayes_r30 NA NA NA 119074.05
tso_wide_ml_r30 -999 -999 -999 -999
tso_wide_bayes_r30 NA NA NA NA
tso_long_bayes_r30 NA NA NA 105766.654
msst_wide_ml_r31 -999 -999 -999 -999
msst_long_ml_r31 126068.738 126182.418 126131.573 NA
msst_wide_bayes_r31 NA NA NA NA
msst_long_bayes_r31 NA NA NA 124232.932
cuts_wide_ml_r31 -999 -999 -999 -999
cuts_long_ml_r31 -999 -999 -999 -999
cuts_wide_bayes_r31 NA NA NA NA
cuts_long_bayes_r31 NA NA NA 118275.562
tso_wide_ml_r31 -999 -999 -999 -999
tso_wide_bayes_r31 NA NA NA NA
tso_long_bayes_r31 NA NA NA 105124.068
msst_wide_ml_r32 -999 -999 -999 -999
msst_long_ml_r32 126153.684 126267.364 126216.518 NA
msst_wide_bayes_r32 NA NA NA NA
msst_long_bayes_r32 NA NA NA 124407.713
cuts_wide_ml_r32 -999 -999 -999 -999
cuts_long_ml_r32 -999 -999 -999 -999
cuts_wide_bayes_r32 NA NA NA NA
cuts_long_bayes_r32 NA NA NA 118842.977
tso_wide_ml_r32 -999 -999 -999 -999
tso_wide_bayes_r32 NA NA NA NA
tso_long_bayes_r32 NA NA NA 105540.386
msst_wide_ml_r33 -999 -999 -999 -999
msst_long_ml_r33 125909.497 126023.177 125972.332 NA
msst_wide_bayes_r33 NA NA NA NA
msst_long_bayes_r33 NA NA NA 124518.932
cuts_wide_ml_r33 -999 -999 -999 -999
cuts_long_ml_r33 -999 -999 -999 -999
cuts_wide_bayes_r33 NA NA NA NA
cuts_long_bayes_r33 NA NA NA 118649.22
tso_wide_ml_r33 -999 -999 -999 -999
tso_wide_bayes_r33 NA NA NA NA
tso_long_bayes_r33 NA NA NA 105462.333
msst_wide_ml_r34 -999 -999 -999 -999
msst_long_ml_r34 127071.015 127184.695 127133.85 NA
msst_wide_bayes_r34 NA NA NA NA
msst_long_bayes_r34 NA NA NA 125121.588
cuts_wide_ml_r34 -999 -999 -999 -999
cuts_long_ml_r34 -999 -999 -999 -999
cuts_wide_bayes_r34 NA NA NA NA
cuts_long_bayes_r34 NA NA NA 118379.137
tso_wide_ml_r34 -999 -999 -999 -999
tso_wide_bayes_r34 NA NA NA NA
tso_long_bayes_r34 NA NA NA 105379.412
msst_wide_ml_r35 -999 -999 -999 -999
msst_long_ml_r35 127430.588 127544.267 127493.422 NA
msst_wide_bayes_r35 NA NA NA NA
msst_long_bayes_r35 NA NA NA 125577.033
cuts_wide_ml_r35 -999 -999 -999 -999
cuts_long_ml_r35 -999 -999 -999 -999
cuts_wide_bayes_r35 NA NA NA NA
cuts_long_bayes_r35 NA NA NA 118465.709
tso_wide_ml_r35 -999 -999 -999 -999
tso_wide_bayes_r35 NA NA NA NA
tso_long_bayes_r35 NA NA NA 105641.253
msst_wide_ml_r36 -999 -999 -999 -999
msst_long_ml_r36 127710.21 127823.89 127773.045 NA
msst_wide_bayes_r36 NA NA NA NA
msst_long_bayes_r36 NA NA NA 125896.519
cuts_wide_ml_r36 -999 -999 -999 -999
cuts_long_ml_r36 -999 -999 -999 -999
cuts_wide_bayes_r36 NA NA NA NA
cuts_long_bayes_r36 NA NA NA 118491.157
tso_wide_ml_r36 -999 -999 -999 -999
tso_wide_bayes_r36 NA NA NA NA
tso_long_bayes_r36 NA NA NA 105547.132
msst_wide_ml_r37 -999 -999 -999 -999
msst_long_ml_r37 126556.988 126670.668 126619.823 NA
msst_wide_bayes_r37 NA NA NA NA
msst_long_bayes_r37 NA NA NA 124848.863
cuts_wide_ml_r37 -999 -999 -999 -999
cuts_long_ml_r37 -999 -999 -999 -999
cuts_wide_bayes_r37 NA NA NA NA
cuts_long_bayes_r37 NA NA NA 118678.305
tso_wide_ml_r37 -999 -999 -999 -999
tso_wide_bayes_r37 NA NA NA NA
